Year,Rank,Country,Score
2017,1,Netherlands,71.45
2017,12,Belgium,61.58
2017,23,Greece,57.14
2017,2,Sweden,70.40
2017,14,Switzerland,60.95
2017,24,Lithuania,57.08
2017,3,Denmark,69.93
2017,16,Serbia,59.37
2017,28,Spain,56.06
2017,4,Norway,67.77
2017,17,Romania,59.13
2017,32,France,54.39
2017,6,Finland,65.83
2017,18,Portugal,58.76
2017,33,Italy,54.19
2017,7,Luxembourg,64.57
2017,19,Hungary,58.61
2017,38,Russia,52.19
2017,9,Germany,62.35
2017,20,Czech Republic,57.87
2017,47,Ukraine,50.91
2017,10,Austria,62.18
2017,21,Slovakia,57.63
2017,62,Turkey,47.79
2017,11,Poland,62.07
2017,22,Bulgaria,57.34
2017,64,Azerbaijan,46.97
2018,1,Sweden,70.72
2018,15,Switzerland,61.77
2018,32,Spain,55.85
2018,2,Netherlands,70.31
2018,16,Romania,60.31
2018,34,Italy,55.77
2018,4,Norway,68.38
2018,17,Croatia,60.16
2018,35,France,55.49
2018,5,Denmark,67.34
2018,18,Serbia,60.04
2018,38,Belarus,53.53
2018,7,Luxembourg,66.33
2018,19,Portugal,60.02
2018,42,Russia,52.96
2018,8,Finland,65.86
2018,20,Czech Republic,59.99
2018,43,Ukraine,52.86
2018,9,Slovenia,64.84
2018,21,Hungary,59.51
2018,45,Georgia,52.28
2018,10,Germany,63.74
2018,23,Greece,58.49
2018,52,Albania,51.49
2018,11,Belgium,63.52
2018,24,Slovakia,58.11
2018,73,Turkey,47.17
2018,12,Austria,63.13
2018,25,Bulgaria,57.95
2018,77,Azerbaijan,45.85
2018,13,Poland,62.45
2018,26,Lithuania,57.81
2019,1,Netherlands,70.27
2019,14,Croatia,63.07
2019,31,France,57.25
2019,2,Sweden,68.74
2019,15,Hungary,61.86
2019,32,Latvia,56.85
2019,3,Norway,67.93
2019,16,Romania,61.36
2019,35,Spain,55.46
2019,17,Serbia,61.30
2019,36,Italy,55.31
2019,7,Finland,65.34
2019,19,Switzerland,60.23
2019,47,Belarus,52.39
2019,8,Austria,64.11
2019,21,Lithuania,60.11
2019,48,Russia,52.14
2019,22,Greece,59.87
2019,49,Ukraine,52.13
2019,10,Germany,63.77
2019,23,Czech Republic,59.30
2019,50,Albania,51.99
2019,11,Poland,63.76
2019,24,Bulgaria,58.97
2019,56,Georgia,50.62
2019,12,Portugal,63.14
2019,25,Slovakia,58.82
2019,79,Turkey,46.81
2019,13,Belgium,63.09
2019,28,Estonia,58.29
2019,85,Azerbaijan,46.13
2020,1,Netherlands,652
2020,15,Serbia,597
2020,30,Italy,547
2020,2,Denmark,632
2020,16,Poland,596
2020,34,Spain,537
2020,3,Finland,631
2020,17,Romania,589
2020,18,Switzerland,588
2020,41,Russia,512
2020,5,Norway,624
2020,19,Czech Republic,580
2020,43,Albania,511
2020,20,Bulgaria,579
2020,44,Ukraine,506
2020,7,Portugal,618
2020,21,Greece,578
2020,47,Georgia,503
2020,8,Germany,616
2020,22,Slovakia,577
2020,51,Armenia,494
2020,24,Lithuania,570
2020,69,Turkey,465
2020,11,Luxembourg,610
2020,25,Estonia,566
2020,86,Azerbaijan,432
2020,13,Croatia,599
2020,28,France,559
2020,14,Hungary,598
2020,29,Latvia,555
2021,1,Netherlands,663
2021,15,Romania,598
2021,33,Spain,540
2021,2,Austria,641
2021,16,Poland,597
2021,35,Italy,535
2021,3,Denmark,636
2021,17,Hungary,593
2021,36,Moldova,532
2021,5,Norway,632
2021,19,Greece,591
2021,38,Belarus,528
2021,20,Slovakia,590
2021,39,Albania,527
2021,7,Portugal,625
2021,22,Estonia,581
2021,8,Sweden,623
